year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7dm304232,CA,4.7,20620,white,black,nissan infiniti lt,21300,22250,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2013,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar8dm759799,WA,4.8,21842,silver,black,nissan infiniti lt,21400,22300,Wed Jun 10 2015 05:30:00 GMT-0700 (PDT)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1dm716257,FL,3.5,25199,gray,black,nissan infiniti lt,21500,21600,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar9dm762095,GA,4.4,17771,blue,beige,nissan infiniti lt,21800,20700,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar8dm759169,FL,4.8,16101,black,gray,nissan infiniti lt,22300,23000,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap1dm301472,FL,4.6,14439,white,black,nissan infiniti lt,21800,24000,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
1999,Infiniti,G20,Base,Sedan,NA,jnkcp11a9xt011138,AZ,1.9,186816,brown,tan,hertz remarketing,1025,1000,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
2000,Infiniti,G20,Base,Sedan,automatic,jnkcp11axyt311983,CA,3,236263,white,tan,purple heart services inc,275,600,Wed Dec 17 2014 11:00:00 GMT-0800 (PST)
2003,Infiniti,G35,Base,Sedan,automatic,jnkcv51e23m001118,FL,1.9,106139,silver,tan,mercedes benz of miami,4825,4100,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
2003,Infiniti,G35,Base,Coupe,manual,jnkcv54e83m203540,CA,2,150967,silver,beige,newport acceptance corp,4875,3200,Wed Jan 28 2015 03:00:00 GMT-0800 (PST)
2004,Infiniti,G35,Base,Sedan,NA,jnkcv51e64m614733,TX,2,123365,blue,â€”,titlemax/fort worth tx7,4850,3700,Tue Jan 20 2015 02:30:00 GMT-0800 (PST)
2004,Infiniti,G35,Base,coupe,automatic,jnkcv54e34m810088,NV,3.3,70546,silver,black,henderson chevrolet company,8425,9000,Fri Jun 12 2015 04:55:00 GMT-0700 (PDT)
2005,Infiniti,G35,Base,coupe,manual,jnkcv54e95m411168,FL,2.8,98988,black,black,"consolidated asset recovery systems, inc.",8275,8700,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2006,Infiniti,G35,x,Sedan,automatic,jnkcv51f16m612979,NJ,2.8,100637,silver,black,chrysler capital,7275,8100,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
2007,Infiniti,G35,Sport,sedan,automatic,jnkbv61e77m726625,FL,3.3,110638,red,gray,santander consumer,8550,8700,Thu Jun 18 2015 02:35:00 GMT-0700 (PDT)
2007,Infiniti,G35,Journey,Sedan,automatic,jnkbv61e77m711509,CA,1.9,141097,red,black,wells fargo dealer services,6850,5400,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
2007,Infiniti,G35,Base,Coupe,automatic,jnkcv54e27m900028,NC,1.9,94590,black,black,primeritus remarketing/marine fcu,9700,6000,Mon Jan 12 2015 09:00:00 GMT-0800 (PST)
2008,Infiniti,G35,Sport,Sedan,automatic,jnkbv61e78m215241,FL,1.9,67319,silver,black,santander consumer,12750,11000,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2008,Infiniti,G35,Sport,Sedan,automatic,jnkbv61e58m223242,AZ,3.9,73752,white,gray,afs acceptance llc,11850,12500,Thu Jan 29 2015 03:00:00 GMT-0800 (PST)
2008,Infiniti,G35,Sport,Sedan,automatic,jnkbv61e68m220298,TX,2.2,102065,silver,black,texas direct auto,9950,9100,Wed Mar 04 2015 02:20:00 GMT-0800 (PST)
2008,Infiniti,G35,Sport,Sedan,automatic,jnkbv61e68m212640,NV,2.1,97581,gray,black,auction cars imports llc,10350,11500,Fri Jan 23 2015 04:00:00 GMT-0800 (PST)
2008,Infiniti,G35,Base,Sedan,automatic,jnkbv61e18m218992,CA,2.1,79015,white,gray,century dealer services corp,11500,10900,Wed Jan 14 2015 04:15:00 GMT-0800 (PST)
2008,Infiniti,G35,Base,Sedan,automatic,jnkbv61e78m216213,FL,2.5,78669,silver,black,santander consumer,11850,11000,Wed Feb 04 2015 01:05:00 GMT-0800 (PST)
2009,Infiniti,G37,Base,coupe,manual,jnkcv64e79m601076,GA,2.9,37386,black,black,carworks inc,18350,18400,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
2009,Infiniti,G37,x,Sedan,automatic,jnkcv61f69m052919,NJ,2.3,56656,gray,black,santander consumer,14050,11400,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
2009,Infiniti,G37,Journey,Sedan,automatic,jnkcv61e29m303636,CA,4.1,59210,black,gray,gossler motors,13900,15750,Tue May 19 2015 05:00:00 GMT-0700 (PDT)
2002,Infiniti,I35,Base,Sedan,automatic,jnkda31a42t016080,AZ,2.5,115706,beige,beige,camelback finance co,2500,1950,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
2002,Infiniti,I35,Base,Sedan,automatic,jnkda31ax2t023812,FL,2.7,146777,white,tan,elder ford of tampa,2250,2800,Thu Feb 05 2015 01:50:00 GMT-0800 (PST)
2002,Infiniti,I35,Base,Sedan,automatic,jnkda31ax2t002703,OH,2,158314,silver,black,aex credit services,2100,2700,Thu Feb 19 2015 01:00:00 GMT-0800 (PST)
2013,Infiniti,JX,JX35,SUV,automatic,5n1al0mn1dc352022,NC,4.3,27249,gray,black,smoaks auto sales,31000,34500,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
2013,Infiniti,JX,JX35,SUV,NA,5n1al0mmxdc331192,PA,3.7,36304,black,black,avis corporation,30500,30400,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2013,Infiniti,JX,JX35,SUV,automatic,5n1al0mn2dc353342,CA,4.4,14934,gray,black,nissan north america inc.,31800,30500,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
2013,Infiniti,JX,JX35,SUV,NA,5n1al0mm3dc331406,FL,4.3,42930,white,black,the hertz corporation,29600,29000,Fri Mar 06 2015 01:15:00 GMT-0800 (PST)
2013,Infiniti,JX,JX35,suv,automatic,5n1al0mn7dc338237,FL,2.1,40309,black,black,nissan infiniti lt,29000,26600,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2013,Infiniti,JX,JX35,SUV,automatic,5n1al0mn2dc327663,GA,3.5,53608,black,beige,associated credit union,25800,25400,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
2013,Infiniti,JX,JX35,SUV,automatic,5n1al0mnxdc341083,TN,3.7,34377,black,black,avis corporation,30000,29900,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
2013,Infiniti,JX,JX35,SUV,automatic,5n1al0mnxdc302672,CA,4.1,33362,blue,beige,nissan infiniti lt,29500,31500,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2012,Infiniti,M,M37x,Sedan,automatic,jn1by1ar1cm394838,IL,4.6,45904,black,black,nissan infiniti lt,23900,24700,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
2012,Infiniti,M,M37,Sedan,automatic,jn1by1ap8cm333047,FL,3.6,39355,white,beige,nissan infiniti lt,24600,25000,Thu Feb 12 2015 01:15:00 GMT-0800 (PST)
2012,Infiniti,M,M37,Sedan,automatic,jn1by1ap0cm334211,MO,4.2,34207,â€”,beige,nissan infiniti lt,25200,23200,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37x,Sedan,automatic,jn1by1ar3cm392606,TN,3.6,35649,gray,black,nissan infiniti lt,25900,27200,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37x,Sedan,automatic,jn1by1ar3cm394730,NJ,4.1,38870,black,gray,nissan infiniti lt,25100,25500,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
2012,Infiniti,M,M37x,sedan,automatic,jn1by1ar6cm391630,MO,4.6,35358,white,gray,nissan infiniti lt,24600,24400,Wed Jun 10 2015 03:30:00 GMT-0700 (PDT)
2012,Infiniti,M,M37x,Sedan,automatic,jn1by1ar4cm393070,IL,3.9,22696,â€”,gray,nissan infiniti lt,26800,25000,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
2012,Infiniti,M,M37x,Sedan,automatic,jn1by1ar8cm395212,OH,4.4,41470,gray,black,infiniti financial services,24400,23800,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37x,Sedan,automatic,jn1by1ar2cm392144,IL,4.7,62707,black,beige,nissan infiniti lt,21800,21000,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2012,Infiniti,M,M37,Sedan,automatic,jn1by1ap8cm336143,CA,4.2,49466,black,black,nissan infiniti lt,22800,19500,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
2012,Infiniti,M,M37,Sedan,automatic,jn1by1ap9cm334207,FL,4,47877,black,black,nissan infiniti lt,22700,23800,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
2012,Infiniti,M,M37x,Sedan,automatic,jn1by1ar6cm393054,NJ,4.6,18486,white,black,nissan infiniti lt,27500,28250,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37,Sedan,automatic,jn1by1ap2cm332556,TN,4.4,33772,gray,black,nissan infiniti lt,25800,26000,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37,Sedan,automatic,jn1by1ap1cm332208,CA,4.1,42871,â€”,beige,nissan infiniti lt,25600,24000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,M,M37,Sedan,automatic,jn1by1ap1dm511530,CA,3.7,13217,â€”,black,nissan infiniti lt,31300,30000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2006,Infiniti,M35,Base,Sedan,automatic,jnkay01f46m254326,NY,3.5,116480,gray,black,par north america,8825,8300,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2006,Infiniti,M35,Base,Sedan,automatic,jnkay01f16m266322,GA,2.4,105580,blue,gray,nalley honda,9650,9000,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
2007,Infiniti,M35,Base,Sedan,automatic,jnkay01e37m311964,GA,4.2,97855,gold,beige,nalley bmw,10450,12100,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
2007,Infiniti,M35,x,Sedan,automatic,jnkay01f97m452918,MO,2.2,68258,gold,tan,crosslane wholesale llc,11800,10900,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2011,Infiniti,M37,x,sedan,automatic,jn1by1arxbm372755,NJ,4.2,75699,black,black,valley national bank,18400,18800,Tue Jun 09 2015 05:45:00 GMT-0700 (PDT)
2006,Infiniti,M45,Base,Sedan,automatic,jnkby01e86m207201,CA,3.7,60488,gray,black,redline remarketing,11800,11400,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2007,Infiniti,M45,Base,Sedan,automatic,jnkby01e97m400734,FL,2.2,120619,black,black,nicholas financial inc/clearwater,9800,8500,Thu Feb 12 2015 07:00:00 GMT-0800 (PST)
2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ar3em686537,WA,4.6,14425,gray,black,infiniti financial services,30400,28750,Wed Jan 21 2015 06:40:00 GMT-0800 (PST)
2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap0em680502,CA,3.7,16655,red,black,nissan infiniti lt,28400,26750,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2014,Infiniti,Q50,Sport,Sedan,automatic,jn1bv7arxem681089,IL,2.8,15737,silver,black,nissan north america inc.,35500,32200,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap7em676091,TN,4.1,18296,white,â€”,nissan infiniti lt,29000,29200,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7apxem675226,FL,4.6,18097,gray,black,nissan infiniti lt,27000,27400,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap2em680100,CA,4.3,12513,red,black,nissan infiniti lt,29200,27000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2014,Infiniti,Q50,Sport,Sedan,automatic,jn1bv7ar5em682389,CA,4.4,113,brown,black,nissan north america inc.,36600,36000,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7apxem682175,FL,2,40160,red,beige,avis corporation,24700,25000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2014,Infiniti,Q50,Base,Sedan,automatic,jn1bv7ap3em687363,FL,4.4,10240,red,beige,enterprise veh exchange/rental,29000,28800,Fri Dec 19 2014 09:20:00 GMT-0800 (PST)
2014,Infiniti,Q50,Premium,sedan,automatic,jn1bv7ap2em688133,TX,3.8,24241,black,gray,nissan north america inc.,27100,26200,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
2014,Infiniti,Q50,Base,Sedan,automatic,jn1bv7ar9em698496,IL,4.3,14848,white,black,nissan infiniti lt,28500,26800,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap5em672590,CA,2.5,9945,white,black,nissan infiniti lt,30700,27000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap1em678077,CA,4.3,12938,white,black,infiniti financial services,29000,30500,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7apxem677543,TN,4.8,11692,white,gray,nissan infiniti lt,29500,29600,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap2em676872,CA,4.1,18289,white,black,nissan infiniti lt,28800,32500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ar7em687819,IL,3.9,18180,white,black,infiniti financial services,28500,29200,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap3em675942,IL,4.3,15234,silver,beige,nissan north america inc.,27300,25700,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap2em679965,CA,4.3,15407,â€”,black,nissan infiniti lt,27300,25250,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ar7em692244,WA,4.4,13061,silver,black,infiniti financial services,30700,29250,Wed Jan 21 2015 06:40:00 GMT-0800 (PST)
2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ar6em684636,CO,4.7,13464,gray,black,infiniti financial services,29400,28750,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ar0em682879,TX,2.9,29054,gray,beige,nissan north america inc.,27100,26200,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
2014,Infiniti,Q60 Coupe,Journey,Q60 Coupe,automatic,jn1cv6ek7em113751,TN,4.3,22139,gray,gray,nissan north america inc.,27200,28000,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2013,Infiniti,QX,QX56,SUV,automatic,jn8az2ne3d9042260,MO,4.4,25460,white,tan,molle volkswagen molle audi,43000,48900,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
2013,Infiniti,QX,QX56,SUV,automatic,jn8az2ne6d9041622,CO,3.5,36410,black,black,the hertz corporation,41500,41901,Wed Jun 03 2015 04:45:00 GMT-0700 (PDT)
2013,Infiniti,QX,QX56,SUV,automatic,jn8az2ne5d9040784,CO,3.5,37361,silver,beige,the hertz corporation,41300,41701,Wed Jun 03 2015 04:45:00 GMT-0700 (PDT)
2003,Infiniti,QX4,Base,SUV,NA,jnrdr09x83w252068,CA,2.5,155626,gold,gray,mas financial services,3025,2300,Wed Dec 17 2014 12:05:00 GMT-0800 (PST)
2006,Infiniti,QX56,Base,suv,automatic,5n3aa08c96n810919,NC,2.3,154293,white,gray,hendrick volkswagen of concord,9950,8200,Wed Jun 10 2015 07:00:00 GMT-0700 (PDT)
2009,Infiniti,QX56,Base,suv,automatic,5n3aa08c89n902429,PA,3.7,77835,black,black,great neck nissan llc,21600,21500,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
2010,Infiniti,QX56,Base,suv,automatic,5n3za0nf9an905376,TX,3.4,91225,black,tan,music city autoplex llc,23100,21750,Wed Jun 03 2015 03:20:00 GMT-0700 (PDT)
2010,Infiniti,QX56,Base,SUV,automatic,5n3za0nd7an905116,TN,3.5,69011,black,tan,meridian remarketing,24400,25200,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2011,Infiniti,QX56,Base,SUV,automatic,jn8az2nf4b9502855,CA,4.1,90242,silver,black,mercedes benz of laguna niguel,29500,24700,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
2011,Infiniti,QX56,Base,suv,automatic,jn8az2nd8b9701650,FL,4.1,35643,off-white,beige,nissan infiniti lt,39100,39800,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2011,Infiniti,QX56,Base,suv,automatic,jn8az2nf4b9503181,CA,3.8,46844,white,beige,nissan infiniti lt,36900,35000,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2015,Infiniti,QX70,Base,suv,automatic,jn8cs1mwxfm481425,GA,4.9,5984,red,beige,ars/thrifty car rental/greer,45000,39700,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
2014,Infiniti,QX80,Base,SUV,automatic,jn8az2nd9e9750487,TN,4.4,31337,black,black,nissan north america inc.,54400,57600,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
2014,Infiniti,QX80,Base,SUV,automatic,jn8az2ne1e9066655,TN,5,12291,black,beige,nissan north america inc.,59000,63000,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2004,Isuzu,Ascender,S 7-Passenger,SUV,automatic,4nues16s146701491,NC,2.9,212608,silver,gray,select remarketing group llc/anderson financial,925,1500,Mon Feb 16 2015 01:30:00 GMT-0800 (PST)
2004,Isuzu,Ascender,S 5-Passenger,SUV,automatic,4nuds13s742100903,VA,2,240327,brown,tan,purple heart,975,350,Thu Dec 18 2014 11:50:00 GMT-0800 (PST)
2005,Isuzu,Ascender,LS 7 Passenger,SUV,automatic,4nues16s456701602,CA,2,146870,white,gray,zinc auto finance,2025,1200,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2004,Isuzu,Rodeo,S,SUV,automatic,4s2dm58yx44306476,CA,4.2,92025,red,beige,california auto wholesale,2125,6700,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2004,Isuzu,Rodeo,S,SUV,automatic,4s2ck58w544303310,NC,2.9,96807,white,gray,fleet lease remarketing,3200,3300,Mon Jan 12 2015 09:30:00 GMT-0800 (PST)
2014,Jaguar,F-TYPE,S,Convertible,automatic,sajwa6fc1e8k09687,CA,4.9,1863,red,black,jaguar north america llc,65000,66000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2002,Jaguar,S-Type,3,Sedan,automatic,sajda01n92fm33214,FL,2,169428,gray,beige,nationwide remarketing,1625,1500,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
2002,Jaguar,X-Type,3,Sedan,automatic,sajea53cx2wc07313,PA,1.9,99501,gray,beige,"jpmorgan chase bank,n.a.",1850,850,Thu Jan 22 2015 01:00:00 GMT-0800 (PST)
2003,Jaguar,X-Type,2.5,Sedan,NA,sajea51d53xd13241,NJ,2.8,73800,silver,black,lester glenn buick,2575,3700,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2003,Jaguar,X-Type,2.5,Sedan,automatic,sajea51d03xd28987,GA,2,102811,black,beige,automobile acceptance corp,2050,1900,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
2004,Jaguar,X-Type,2.5,Sedan,manual,sajeb52d64xd62025,FL,1.9,151865,silver,beige,south dade toyota,1300,750,Fri May 08 2015 02:35:00 GMT-0700 (PDT)
2004,Jaguar,X-Type,3,Sedan,automatic,sajea51c14w518907,FL,2.1,60720,blue,beige,audi pembroke pines,3750,3800,Fri Feb 20 2015 09:35:00 GMT-0800 (PST)
2007,Jaguar,X-Type,3.0L,sedan,NA,sajwa51a57wj24544,PA,2.5,77585,beige,beige,prestige lexus,5550,4500,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
2009,Jaguar,XF,Luxury,sedan,automatic,sajwa05b29hr28636,FL,4.2,84781,gray,gray,elder ford of tampa,13800,15000,Thu May 28 2015 02:50:00 GMT-0700 (PDT)
2011,Jaguar,XF,Base,Sedan,NA,sajwa0fb8blr94626,FL,4,80627,blue,gray,tdaf remarketing,18050,18200,Tue May 26 2015 02:00:00 GMT-0700 (PDT)
2011,Jaguar,XF,Base,sedan,automatic,sajwa0fb7blr93208,CA,4.7,16035,white,beige,"jpmorgan chase bank,n.a.",26200,28250,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2011,Jaguar,XF,Supercharged,Sedan,automatic,sajwa0he1bmr98230,CA,3.9,44466,silver,black,land rover newport beach,29300,29500,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
2011,Jaguar,XF,Premium,Sedan,NA,sajwa0gb1blr98922,NJ,3,39788,silver,gray,credit union leasing of america,23600,23600,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
2011,Jaguar,XF,Premium,Sedan,automatic,sajwa0gb5blr86353,CA,2.8,55526,gray,black,land rover newport beach,20600,19500,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2011,Jaguar,XF,Premium,sedan,automatic,sajwa0gb0bls20160,FL,3.5,14853,gold,tan,boniface hiers chrysler dodge jeep,29500,27800,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
2012,Jaguar,XF,Base,sedan,NA,sajwa0fb7cls29750,PA,4.4,33169,white,beige,adcock brothers inc,27700,29000,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
2013,Jaguar,XF,Base,Sedan,automatic,sajwa0esxdps64892,FL,3.2,14202,red,beige,palm beach motor cars,30400,29800,Thu Mar 05 2015 01:15:00 GMT-0800 (PST)
2013,Jaguar,XF,Base,sedan,automatic,sajwa0es2dps80147,CA,3.4,30669,black,black,skyhigh remarketing inc,29600,29300,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
2014,Jaguar,XJ,XJR,Sedan,automatic,sajwa1ekxemv54025,OH,4.7,7423,red,black,jaguar north america llc,83000,86000,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2001,Jaguar,XJ-Series,Vanden Plas,Sedan,automatic,sajda24c61lf33571,WI,1,121672,black,tan,"jpmorgan chase bank,n.a.",2275,1500,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
2004,Jaguar,XJ-Series,XJ8,Sedan,automatic,sajwa71c74sg22912,CA,2.5,104679,blue,gray,pacific motors,4825,2800,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2004,Jaguar,XJ-Series,XJ8,Sedan,automatic,sajwa71c24sg28150,CA,4.2,117810,white,beige,pacific luxury motors inc,4175,3700,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2012,Jaguar,XK,Base,Coupe,automatic,sajwa4fbxclb46176,CA,4.6,13849,white,tan,"jpmorgan chase bank,n.a.",46500,50000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2007,Jaguar,XK-Series,XK,Convertible,automatic,sajda44b575b03854,FL,3,65923,red,tan,manheim atlanta,16850,17000,Wed Jan 07 2015 16:45:00 GMT-0800 (PST)
1999,Jeep,Cherokee,Sport,SUV,automatic,1j4ff68s4xl627806,NC,2.5,183635,green,gray,hendrick chrysler jeep,1100,2200,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
2000,Jeep,Cherokee,Classic,SUV,automatic,1j4ff58s2yl203875,TX,1.9,143476,blue,â€”,springleaf financial services/evansville,2875,1050,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
2014,Jeep,Cherokee,Sport,suv,automatic,1c4pjmab5ew233296,TN,4.5,30086,blue,black,wholesale inc # 2,17050,17800,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
2014,Jeep,Cherokee,Latitude,suv,automatic,1c4pjmcs6ew169427,IL,4,13603,black,black,fca us llc,21200,19300,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
2014,Jeep,Cherokee,Latitude,suv,automatic,1c4pjmcsxew107626,NJ,2.6,13875,gray,black,wells fargo dealer services,21100,17700,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2014,Jeep,Cherokee,Sport,suv,NA,1c4pjmab9ew173927,PA,4.1,27368,black,black,avis corporation,17600,17600,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
2014,Jeep,Cherokee,Trailhawk,suv,automatic,1c4pjmbs8ew267652,MD,4.8,19208,white,black,wells fargo dealer services,27500,26800,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2015,Jeep,Cherokee,Trailhawk,suv,automatic,1c4pjmbs0fw521050,TX,4.5,12598,green,â€”,chrysler capital,28900,28700,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
2015,Jeep,Cherokee,Latitude,SUV,automatic,1c4pjmcb9fw636079,MD,4,8412,white,black,general american rentals,22800,23500,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
2006,Jeep,Commander,Limited,SUV,automatic,1j8hg58n76c293729,NY,2.8,91988,white,beige,chrysler capital,8950,6100,Wed Jun 03 2015 03:20:00 GMT-0700 (PDT)
2006,Jeep,Commander,Base,suv,automatic,1j8hh48k46c258742,TX,2.9,130896,black,black,santander consumer,5150,5100,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2006,Jeep,Commander,Limited,SUV,automatic,1j8hg58276c173581,PA,3,144051,brown,brown,capital auto import llc,6950,6700,Mon Feb 23 2015 12:30:00 GMT-0800 (PST)
2006,Jeep,Commander,Base,suv,NA,1j8hg48n96c189009,PA,3.6,112961,beige,gray,congers auto sales inc,6550,7000,Fri Jun 05 2015 02:15:00 GMT-0700 (PDT)
2006,Jeep,Commander,Limited,SUV,automatic,1j8hh58286c253484,TX,2.4,83799,silver,beige,exeter finance corp,9675,8800,Tue Feb 03 2015 02:30:00 GMT-0800 (PST)
2006,Jeep,Commander,Limited,suv,automatic,1j8hg58246c318091,NJ,3.6,100491,gray,gray,gary motors inc,9125,8400,Tue Jun 09 2015 04:15:00 GMT-0700 (PDT)
2006,Jeep,Commander,Base,SUV,automatic,1j8hg48k56c328008,TX,3.1,93477,gray,gray,santander consumer,7000,8100,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
2006,Jeep,Commander,Base,suv,automatic,1j8hh48k76c263997,GA,3.7,200276,black,gray,cameron motor sports,3750,3600,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
2006,Jeep,Commander,Base,SUV,automatic,1j8hg48k26c348829,FL,1.9,92008,black,gray,coggin nissan at the avenues,7450,4100,Thu Mar 05 2015 05:00:00 GMT-0800 (PST)
